GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
garage,io.swagger.geocode,AddressConverter,0,186,0,4,0,32,0,7,0,5
garage,io.swagger.configuration,SwaggerDocumentationConfig,0,46,0,0,0,17,0,3,0,3
garage,io.swagger.configuration,MapperConfig,0,17,0,0,0,4,0,4,0,4
garage,io.swagger.configuration,HomeController,5,3,0,0,2,1,1,1,1,1
garage,io.swagger,GarageCornerApplication,24,7,3,1,3,3,3,2,1,2
garage,io.swagger,GarageCornerApplication.ExitException,8,0,0,0,2,0,2,0,2,0
garage,io.swagger.Exception,RestResponseEntityExceptionHandler,0,25,0,0,0,5,0,2,0,2
garage,io.swagger.Exception,ApiException,0,10,0,0,0,4,0,2,0,2
garage,io.swagger.api,LoginApiController,5,33,2,2,1,9,2,3,0,3
garage,io.swagger.api,ApiResponseMessage,58,0,6,0,27,0,13,0,8,0
garage,io.swagger.api,GaragesApiController,25,116,10,10,5,21,10,7,0,7
garage,io.swagger.api,UsersApiController,25,114,10,10,5,20,10,7,0,7
garage,io.swagger.api,ApiOriginFilter,25,0,0,0,9,0,4,0,4,0
garage,io.swagger.security,MD5Hashing,11,47,0,2,4,8,1,2,1,1
garage,io.swagger.security,SecurityConfig,45,0,0,0,13,0,3,0,3,0
garage,io.swagger.model,Comment,158,43,16,0,29,17,16,9,8,9
garage,io.swagger.model,InlineResponse2003,73,13,8,0,17,5,9,3,5,3
garage,io.swagger.model,InlineResponse2002,88,13,10,0,21,5,11,3,6,3
garage,io.swagger.model,InlineResponse2001,73,13,8,0,17,5,9,3,5,3
garage,io.swagger.model,User.StatusEnum,0,64,0,4,0,11,0,6,0,4
garage,io.swagger.model,Address,137,64,12,4,24,22,15,10,7,10
garage,io.swagger.model,Garage,323,93,30,0,57,37,30,19,15,19
garage,io.swagger.model,User,266,83,24,0,45,33,24,17,12,17
garage,io.swagger.model,Error,135,29,14,0,27,11,15,6,8,6
garage,io.swagger.model,InlineResponse200,88,13,10,0,21,5,11,3,6,3
garage,io.swagger.mapper,GarageMapper,79,199,17,21,15,42,13,12,0,6
garage,io.swagger.mapper,UserMapper,62,262,13,23,8,53,12,13,0,7
garage,io.swagger.repository.specification,UserSpecification,37,52,4,4,6,9,4,2,0,2
garage,io.swagger.repository.specification,GarageSpecification,89,0,8,0,15,0,6,0,2,0
garage,io.swagger.repository.specification,SearchCriteria,9,21,0,0,5,8,3,4,3,4
